CustomerID,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,Gender_male
CUST0001,0.730769230769231,0.4,0.0,1.0,0,0,0.15557012859552402,1,True
CUST0003,0.5576923076923077,0.6000000000000001,0.005778220725059964,0.0,0,1,0.6118055642208146,1,False
CUST0004,0.46153846153846156,0.1,0.0,0.3333333333333333,1,1,0.9743854944951342,0,True
CUST0005,0.8846153846153847,0.30000000000000004,0.38577474169556814,1.0,0,0,0.8604202396417804,0,True
CUST0006,0.15384615384615385,0.7000000000000001,0.0,1.0,1,1,0.38527058484259025,1,True
CUST0007,0.019230769230769273,0.4,0.2449632493114859,0.6666666666666667,1,0,0.833639505816815,1,True
CUST0008,0.3076923076923077,0.4,0.18643365607327037,0.3333333333333333,1,1,0.20756168239430425,0,True
CUST0009,0.5384615384615385,0.2,0.7767102439207912,0.3333333333333333,1,1,0.5980342725241661,0,False
CUST0010,0.13461538461538464,0.7000000000000001,0.5235355044365131,1.0,0,1,0.7476514067219918,0,True
CUST0011,0.4423076923076924,1.0,0.9659925617609033,1.0,0,0,0.29601002181488567,1,False
CUST0012,0.46153846153846156,0.7000000000000001,0.0,1.0,1,1,0.013444168542598972,1,True
CUST0013,0.13461538461538464,0.30000000000000004,0.0,0.0,1,0,0.6512814030910558,0,True
CUST0014,0.15384615384615385,0.8,0.0,1.0,0,0,0.6690690615747911,1,True
CUST0016,0.07692307692307698,1.0,0.2399449718993575,0.6666666666666667,0,0,0.7109459089117219,1,True
CUST0017,0.23076923076923084,0.30000000000000004,0.0,0.0,1,0,0.508587156098979,0,False
CUST0018,0.42307692307692313,0.7000000000000001,0.0,0.0,1,0,0.07642719896158617,1,True
CUST0019,0.40384615384615385,0.2,0.6265978258417049,0.0,0,1,0.45648237624970367,0,False
CUST0020,0.3653846153846154,1.0,0.0,0.6666666666666667,1,0,0.27183687623037056,1,False
CUST0021,0.980769230769231,0.9,0.3084372768854712,1.0,0,0,0.4848151542362178,0,True
CUST0022,0.7884615384615384,0.8,0.9437456840447876,1.0,1,1,0.7032918278982518,0,True
CUST0024,0.3076923076923077,0.1,0.9773020091270244,0.3333333333333333,0,0,0.34487206919760016,0,False
CUST0025,0.019230769230769273,0.5,0.4922926789342564,0.3333333333333333,1,0,0.6723677138458822,0,False
CUST0026,0.3076923076923077,0.6000000000000001,0.371160716604031,0.3333333333333333,1,1,0.5358270331123808,1,True
CUST0027,0.6153846153846154,0.9,0.3243653685377365,1.0,0,0,0.5910179545706276,0,True
CUST0028,0.34615384615384615,1.0,0.0,1.0,1,0,0.1739421721439576,1,False
CUST0029,0.730769230769231,0.2,0.0,1.0,0,0,0.20869309562948982,1,True
CUST0030,0.7884615384615384,0.30000000000000004,0.23254290390299182,0.3333333333333333,1,0,0.5166630234066745,1,True
CUST0031,0.0,0.5,0.0,0.6666666666666667,0,0,0.34901583454762486,0,False
CUST0032,0.03846153846153849,0.4,0.8881691134523325,0.0,1,1,0.08359671869365176,1,True
CUST0034,0.8653846153846155,0.2,0.0,1.0,0,0,0.17550299710125908,1,False
CUST0035,0.25,0.5,0.1830353736852393,1.0,1,0,0.7212364623621973,1,False
CUST0036,0.9038461538461539,0.30000000000000004,0.6385234326444332,0.3333333333333333,1,1,0.9795295773402477,0,True
CUST0037,0.13461538461538464,0.2,0.0,1.0,0,1,0.8646529683171944,0,False
CUST0038,0.9038461538461539,0.30000000000000004,0.5744793225127879,0.0,1,0,0.9952079192302354,1,True
CUST0039,0.8653846153846155,0.5,0.8845925770798396,0.0,0,1,0.3305322594882275,0,False
CUST0040,0.576923076923077,0.30000000000000004,0.9810022176436625,0.6666666666666667,0,0,0.19050852977282848,1,True
CUST0041,0.03846153846153849,0.2,0.0,0.3333333333333333,1,0,0.5701587121129844,1,False
CUST0042,0.5961538461538463,0.6000000000000001,0.0,0.6666666666666667,1,1,0.32232190736137245,0,False
CUST0044,0.23076923076923084,1.0,0.010164879682562824,0.0,1,0,0.07038023464442938,1,True
CUST0045,0.25,0.30000000000000004,0.34150441660142444,0.3333333333333333,1,1,0.5783885514444486,0,True
CUST0047,0.0961538461538462,0.6000000000000001,0.0,0.0,1,0,0.27124679135088536,1,False
CUST0048,0.730769230769231,0.4,0.843304891908695,1.0,1,0,0.6997805109159926,1,True
